night|لَيْل|noun|times|m|n
rainy|ماطِر|adj||m|n
rain|مَطَر|noun|nature|m|n
rains|أمْطار|noun|nature|m|y
moderate|مُعْتَدِل|adj|||n
most|مُعْظَم|noun|||n
daytime|نَهار|noun|times|m|n
to bathe, to take a bath or shower|اسْتَحَمَّ (يَستَحِمُّ) استِحْمام|verb|||n
to move, to relocate|اِنتَقَلَ (يَنتَقِلُ) اِنْتِقال|verb|||n
in need of|بِحاجةٍ (إلى)|phrase|||n
tabouleh salad|تَبّولة|noun|food|f|n
then, and again|ثُمَّ|conj|||n
to prepare|جَهَّزَ (يُجَهِّزُ) تَجْهيز|verb|||n
bus, tram|حافِلة|noun|transportation|f|n
buses, trams|حافِلات|noun|transportation|f|y
to shave|حَلَقَ (يَحْلِقُ) حَلْق|verb|||n
bathroom|حَمّام|noun|household|f|n
bathrooms|حمّامات|noun|household|f|y
news story|خَبَر|noun||m|n
news stories|أخْبار|noun||m|y
vegetable|خُضرة|noun|food|f|n
vegetables|خُضَر|noun|food|f|y
chin (or beard, when shaving)|ذَقْن|noun|body|f|n
chins (or beards, when shaving)|ذُقون|noun|body|f|y
to organize|رَتّبَ (يُرَتِّبُ) تَرْتيب|verb|||n
to return, to go back|رَجَعَ (يَرْجِعُ) رُجوع|verb|||n
letter, message|رِسالة|noun||f|n
letters, messages|رَسائِل|noun||f|y
tooth|سِنٌّ|noun|body|f|n
teeth|أسْنان|noun|body|f|y
to witness, to see, to watch|شاهَدَ (يُشاهِدُ) مُشاهَدة|verb|||n
soap|صابون|noun||m|n
plate|صَحْن|noun|dishes|m|n
plates|صُحون|noun|dishes|m|y
to return|عادَ (يَعودُ) عَوْدة|verb|||n
world|عالَم|noun||m|n
worlds|عَوالِم|noun||m|y
break; vacation|عُطْلة|noun||f|n
breaks; vacations|عُطْلات/عُطَل|noun||f|y
dinner|عَشاء|noun|food|m|n
dinners|أعْشِية|noun|food|m|y
lunch|غَداء|noun|food|m|n
lunches|أغْدِية|noun|food|m|y
to wash|غَسَلَ (يَغْسِلُ) غَسْل|verb|||n
to change something|غَيَّرَ (يُغَيِّرُ) تَغيير|verb|||n
brush|فُرْشاة|noun||f|n
brushes|فَراشٍ|noun||f|y
to spend time|قَضى (يَقضي) قَضاء|verb|||n
writing|كِتابة|noun|subjects||n
much, a great deal|كَثير|noun|common|m|n
much, a great deal (pl)|كَثيرون/كِثار|noun|common|m|y
because|ﻷَنَّ|particle|||n
yogurt|لَبَن|noun|food|m|n
why|لِماذا|particle|||n
one coming early|مُبَكِّر|noun||m|n
one coming early (pl)|مُبَكِّرون|noun||m|y
one coming late|مُتَأخِّر|noun||m|n
one coming late (pl)|مُتَأخِّرهن|noun||m|y
stewed|مٌدَمَّس|adj|||n
once, one occurrence|مَرّة|noun|common|f|n
once, one occurrence (pl)|مَرّات|noun|common|f|y
show, (television) series, serial|مُسَلسَل|noun|entertainment|m|n
shows, (television) series, serials|مُسَلسَلات|noun|entertainment|m|y
watching|مٌشاهَدة|noun|||n
busy|مَشْغول|noun||m|n
busy (pl)|مَشْغولون|noun||m|y
together|مَعاً|adv|||n
paste|مَعْجون|noun||m|n
pastes|مَعاجين|noun||m|y
fried|مَقليّ|adj|food||n
to forget|نَسِيَ (يَنسى) نِسْيان|verb|||n
to clean|نَظَّفَ (يُنَظِّفُ) تَنْظيف|verb|||n
to get up|نَهَضَ (يَنهَضُ) نُهوض|verb|||n
by God, I swear, really (used to add emphasis)|وَاللّهِ|phrase|||n
face|وَجْه|noun|body|m|n
faces|وُجوه|noun|body|m|y
hand|يَد|noun|body|f|n
hands|أيْدٍ|noun|body|f|y
to wait|اِنتَظَرَ (يَنْتَظِرُ) اِنتِظار|verb|||n
onion|بَصَل|noun|food|m|n
